Experiment	Time	Treatment	Replicate	Log LD				
6	4	T1	C	1.397940009				
6	4	T2	A	4.62838893				
6	4	T2	B	3.079181246				
6	4	T2	C	2.867762025				
6	4	T3	A	0.795880017				
6	4	T3	B	1.096910013				
6	4	T3	C	0.795880017				
6	8	T0	A	7.439332694				
6	8	T0	B	7.977723605				
6	8	T0	C	7.602059991				
6	8	T1	A	2.511883361				
6	8	T1	B	4.329906123				
6	8	T1	C	0.795880017				
6	8	T2	A	5.126293791				
6	8	T2	B	5				
6	8	T2	C	4.750122527				
6	8	T3	A	2.352182518				
6	8	T3	B	3.005395032				
6	8	T3	C	2.210853365				
6	24	T0	A	8.70969387				
6	24	T0	B	9.113943352				
6	24	T0	C	9.273001272				
6	24	T1	A	3.730378469				
6	24	T1	B	3.186815124				
6	24	T1	C	3.255272505				
6	24	T2	A	6.27588696				
6	24	T2	B	5.375663614				
6	24	T2	C	2.458637849				
6	24	T3	A	3.90982337				
6	24	T3	B	1.397940009				
6	24	T3	C	2.812913357				
6	48	T0	A	7.916453949				
6	48	T0	B	8.200713734				
6	48	T0	C	9.065392962				
6	48	T1	A	4.301029996				
6	48	T1	B	4.352182518				
6	48	T1	C	2.795880017				
6	48	T2	A	5.90982337				
6	48	T2	B	6				
6	48	T2	C	6.720159303				
6	48	T3	A	3.051152522				
6	48	T3	B	#DIV/0!	pellet fell out during rinse 			
6	48	T3	C	#DIV/0!	pellet fell out during rinse 			
								
								
								
								
								
								
								
								
								
